Energy (MeV),Na-22 Counts,Na-22 Relative Error,Co-60 Counts,Co-60 Relative Error,Cs-137 Counts,Cs-137 Relative Error
1.4768,0.0,0.0,0.0,0.0,0.0,0.0
1.4788,0.0,0.0,0.0,0.0,0.0,0.0
1.4807,0.0,0.0,0.0,0.0,0.0,0.0
1.4827,0.0,0.0,0.0,0.0,0.0,0.0
1.4846,0.0,0.0,0.0,0.0,0.0,0.0
1.4866,0.0,0.0,0.0,0.0,0.0,0.0
1.4885,0.0,0.0,0.0,0.0,0.0,0.0
1.4905,0.0,0.0,0.0,0.0,0.0,0.0
1.4924,0.0,0.0,0.0,0.0,0.0,0.0
1.4944,0.0,0.0,0.0,0.0,0.0,0.0
1.4963,0.0,0.0,0.0,0.0,0.0,0.0
1.4983,0.0,0.0,0.0,0.0,0.0,0.0
1.5003,0.0,0.0,0.0,0.0,0.0,0.0
1.5022,0.0,0.0,0.0,0.0,0.0,0.0
1.5042,0.0,0.0,0.0,0.0,0.0,0.0
1.5061,0.0,0.0,0.0,0.0,0.0,0.0
1.5081,0.0,0.0,0.0,0.0,0.0,0.0
1.51,0.0,0.0,0.0,0.0,0.0,0.0
1.512,0.0,0.0,0.0,0.0,0.0,0.0
1.5139,0.0,0.0,0.0,0.0,0.0,0.0
1.5159,0.0,0.0,0.0,0.0,0.0,0.0
1.5178,0.0,0.0,0.0,0.0,0.0,0.0
1.5198,0.0,0.0,0.0,0.0,0.0,0.0
1.5217,0.0,0.0,0.0,0.0,0.0,0.0
1.5237,0.0,0.0,0.0,0.0,0.0,0.0
1.5256,0.0,0.0,0.0,0.0,0.0,0.0
1.5276,0.0,0.0,0.0,0.0,0.0,0.0
1.5295,0.0,0.0,0.0,0.0,0.0,0.0
1.5315,0.0,0.0,0.0,0.0,0.0,0.0
1.5334,0.0,0.0,0.0,0.0,0.0,0.0
1.5354,0.0,0.0,0.0,0.0,0.0,0.0
1.5373,0.0,0.0,0.0,0.0,0.0,0.0
1.5393,0.0,0.0,0.0,0.0,0.0,0.0
1.5412,0.0,0.0,0.0,0.0,0.0,0.0
1.5432,0.0,0.0,0.0,0.0,0.0,0.0
1.5451,0.0,0.0,0.0,0.0,0.0,0.0
1.5471,0.0,0.0,0.0,0.0,0.0,0.0
1.5491,0.0,0.0,0.0,0.0,0.0,0.0
1.551,0.0,0.0,0.0,0.0,0.0,0.0
1.553,0.0,0.0,0.0,0.0,0.0,0.0
1.5549,0.0,0.0,0.0,0.0,0.0,0.0
1.5569,0.0,0.0,0.0,0.0,0.0,0.0
1.5588,0.0,0.0,0.0,0.0,0.0,0.0
1.5608,0.0,0.0,0.0,0.0,0.0,0.0
1.5627,0.0,0.0,0.0,0.0,0.0,0.0
1.5647,0.0,0.0,0.0,0.0,0.0,0.0
1.5666,0.0,0.0,0.0,0.0,0.0,0.0
1.5686,0.0,0.0,0.0,0.0,0.0,0.0
1.5705,0.0,0.0,0.0,0.0,0.0,0.0
1.5725,0.0,0.0,0.0,0.0,0.0,0.0
1.5744,0.0,0.0,0.0,0.0,0.0,0.0
1.5764,0.0,0.0,0.0,0.0,0.0,0.0
1.5783,0.0,0.0,0.0,0.0,0.0,0.0
1.5803,0.0,0.0,0.0,0.0,0.0,0.0
1.5822,0.0,0.0,0.0,0.0,0.0,0.0
1.5842,0.0,0.0,0.0,0.0,0.0,0.0
1.5861,0.0,0.0,0.0,0.0,0.0,0.0
1.5881,0.0,0.0,0.0,0.0,0.0,0.0
1.59,0.0,0.0,0.0,0.0,0.0,0.0
1.592,0.0,0.0,0.0,0.0,0.0,0.0
1.594,0.0,0.0,0.0,0.0,0.0,0.0
1.5959,0.0,0.0,0.0,0.0,0.0,0.0
1.5979,0.0,0.0,0.0,0.0,0.0,0.0
1.5998,0.0,0.0,0.0,0.0,0.0,0.0
1.6018,0.0,0.0,0.0,0.0,0.0,0.0
1.6037,0.0,0.0,0.0,0.0,0.0,0.0
1.6057,0.0,0.0,0.0,0.0,0.0,0.0
1.6076,0.0,0.0,0.0,0.0,0.0,0.0
1.6096,0.0,0.0,0.0,0.0,0.0,0.0
1.6115,0.0,0.0,0.0,0.0,0.0,0.0
1.6135,0.0,0.0,0.0,0.0,0.0,0.0
1.6154,0.0,0.0,0.0,0.0,0.0,0.0
1.6174,0.0,0.0,0.0,0.0,0.0,0.0
1.6193,0.0,0.0,0.0,0.0,0.0,0.0
1.6213,0.0,0.0,0.0,0.0,0.0,0.0
1.6232,0.0,0.0,0.0,0.0,0.0,0.0
1.6252,0.0,0.0,0.0,0.0,0.0,0.0
1.6271,0.0,0.0,0.0,0.0,0.0,0.0
1.6291,0.0,0.0,0.0,0.0,0.0,0.0
1.631,0.0,0.0,0.0,0.0,0.0,0.0
1.633,0.0,0.0,0.0,0.0,0.0,0.0
1.6349,0.0,0.0,0.0,0.0,0.0,0.0
1.6369,0.0,0.0,0.0,0.0,0.0,0.0
1.6389,0.0,0.0,0.0,0.0,0.0,0.0
1.6408,0.0,0.0,0.0,0.0,0.0,0.0
1.6428,0.0,0.0,0.0,0.0,0.0,0.0
1.6447,0.0,0.0,0.0,0.0,0.0,0.0
1.6467,0.0,0.0,0.0,0.0,0.0,0.0
1.6486,0.0,0.0,0.0,0.0,0.0,0.0
1.6506,0.0,0.0,0.0,0.0,0.0,0.0
1.6525,0.0,0.0,0.0,0.0,0.0,0.0
1.6545,0.0,0.0,0.0,0.0,0.0,0.0
1.6564,0.0,0.0,0.0,0.0,0.0,0.0
1.6584,0.0,0.0,0.0,0.0,0.0,0.0
1.6603,0.0,0.0,0.0,0.0,0.0,0.0
1.6623,0.0,0.0,0.0,0.0,0.0,0.0
1.6642,0.0,0.0,0.0,0.0,0.0,0.0
1.6662,0.0,0.0,0.0,0.0,0.0,0.0
1.6681,0.0,0.0,0.0,0.0,0.0,0.0
1.6701,0.0,0.0,0.0,0.0,0.0,0.0
1.672,0.0,0.0,0.0,0.0,0.0,0.0
1.674,0.0,0.0,0.0,0.0,0.0,0.0
1.6759,0.0,0.0,0.0,0.0,0.0,0.0
1.6779,0.0,0.0,0.0,0.0,0.0,0.0
1.6798,0.0,0.0,0.0,0.0,0.0,0.0
1.6818,0.0,0.0,0.0,0.0,0.0,0.0
1.6838,0.0,0.0,0.0,0.0,0.0,0.0
1.6857,0.0,0.0,0.0,0.0,0.0,0.0
1.6877,0.0,0.0,0.0,0.0,0.0,0.0
1.6896,0.0,0.0,0.0,0.0,0.0,0.0
1.6916,0.0,0.0,0.0,0.0,0.0,0.0
1.6935,0.0,0.0,0.0,0.0,0.0,0.0
1.6955,0.0,0.0,0.0,0.0,0.0,0.0
1.6974,0.0,0.0,0.0,0.0,0.0,0.0
1.6994,0.0,0.0,0.0,0.0,0.0,0.0
1.7013,0.0,0.0,0.0,0.0,0.0,0.0
1.7033,0.0,0.0,0.0,0.0,0.0,0.0
1.7052,0.0,0.0,0.0,0.0,0.0,0.0
1.7072,0.0,0.0,0.0,0.0,0.0,0.0
1.7091,0.0,0.0,0.0,0.0,0.0,0.0
1.7111,0.0,0.0,0.0,0.0,0.0,0.0
1.713,0.0,0.0,0.0,0.0,0.0,0.0
1.715,0.0,0.0,0.0,0.0,0.0,0.0
1.7169,0.0,0.0,0.0,0.0,0.0,0.0
1.7189,0.0,0.0,0.0,0.0,0.0,0.0
1.7208,0.0,0.0,0.0,0.0,0.0,0.0
1.7228,0.0,0.0,0.0,0.0,0.0,0.0
1.7247,0.0,0.0,0.0,0.0,0.0,0.0
1.7267,0.0,0.0,0.0,0.0,0.0,0.0
1.7287,0.0,0.0,0.0,0.0,0.0,0.0
1.7306,0.0,0.0,0.0,0.0,0.0,0.0
1.7326,0.0,0.0,0.0,0.0,0.0,0.0
1.7345,0.0,0.0,0.0,0.0,0.0,0.0
1.7365,0.0,0.0,0.0,0.0,0.0,0.0
1.7384,0.0,0.0,0.0,0.0,0.0,0.0
1.7404,0.0,0.0,0.0,0.0,0.0,0.0
1.7423,0.0,0.0,0.0,0.0,0.0,0.0
1.7443,0.0,0.0,0.0,0.0,0.0,0.0
1.7462,0.0,0.0,0.0,0.0,0.0,0.0
1.7482,0.0,0.0,0.0,0.0,0.0,0.0
1.7501,0.0,0.0,0.0,0.0,0.0,0.0
1.7521,0.0,0.0,0.0,0.0,0.0,0.0
1.754,0.0,0.0,0.0,0.0,0.0,0.0
1.756,0.0,0.0,0.0,0.0,0.0,0.0
1.7579,0.0,0.0,0.0,0.0,0.0,0.0
1.7599,0.0,0.0,0.0,0.0,0.0,0.0
1.7618,0.0,0.0,0.0,0.0,0.0,0.0
1.7638,0.0,0.0,0.0,0.0,0.0,0.0
1.7657,0.0,0.0,0.0,0.0,0.0,0.0
1.7677,0.0,0.0,0.0,0.0,0.0,0.0
1.7696,0.0,0.0,0.0,0.0,0.0,0.0
1.7716,0.0,0.0,0.0,0.0,0.0,0.0
1.7736,0.0,0.0,0.0,0.0,0.0,0.0
1.7755,0.0,0.0,0.0,0.0,0.0,0.0
1.7775,0.0,0.0,0.0,0.0,0.0,0.0
1.7794,0.0,0.0,0.0,0.0,0.0,0.0
1.7814,0.0,0.0,0.0,0.0,0.0,0.0
1.7833,0.0,0.0,0.0,0.0,0.0,0.0
1.7853,0.0,0.0,0.0,0.0,0.0,0.0
1.7872,0.0,0.0,0.0,0.0,0.0,0.0
1.7892,0.0,0.0,0.0,0.0,0.0,0.0
1.7911,0.0,0.0,0.0,0.0,0.0,0.0
1.7931,0.0,0.0,0.0,0.0,0.0,0.0
1.795,0.0,0.0,0.0,0.0,0.0,0.0
1.797,0.0,0.0,0.0,0.0,0.0,0.0
1.7989,0.0,0.0,0.0,0.0,0.0,0.0
1.8009,0.0,0.0,0.0,0.0,0.0,0.0
1.8028,0.0,0.0,0.0,0.0,0.0,0.0
1.8048,0.0,0.0,0.0,0.0,0.0,0.0
1.8067,0.0,0.0,0.0,0.0,0.0,0.0
1.8087,0.0,0.0,0.0,0.0,0.0,0.0
1.8106,0.0,0.0,0.0,0.0,0.0,0.0
1.8126,0.0,0.0,0.0,0.0,0.0,0.0
1.8145,0.0,0.0,0.0,0.0,0.0,0.0
1.8165,0.0,0.0,0.0,0.0,0.0,0.0
1.8185,0.0,0.0,0.0,0.0,0.0,0.0
1.8204,0.0,0.0,0.0,0.0,0.0,0.0
1.8224,0.0,0.0,0.0,0.0,0.0,0.0
1.8243,0.0,0.0,0.0,0.0,0.0,0.0
1.8263,0.0,0.0,0.0,0.0,0.0,0.0
1.8282,0.0,0.0,0.0,0.0,0.0,0.0
1.8302,0.0,0.0,0.0,0.0,0.0,0.0
1.8321,0.0,0.0,0.0,0.0,0.0,0.0
1.8341,0.0,0.0,0.0,0.0,0.0,0.0
1.836,0.0,0.0,0.0,0.0,0.0,0.0
1.838,0.0,0.0,0.0,0.0,0.0,0.0
1.8399,0.0,0.0,0.0,0.0,0.0,0.0
1.8419,0.0,0.0,0.0,0.0,0.0,0.0
1.8438,0.0,0.0,0.0,0.0,0.0,0.0
1.8458,0.0,0.0,0.0,0.0,0.0,0.0
1.8477,0.0,0.0,0.0,0.0,0.0,0.0
1.8497,0.0,0.0,0.0,0.0,0.0,0.0
1.8516,0.0,0.0,0.0,0.0,0.0,0.0
1.8536,0.0,0.0,0.0,0.0,0.0,0.0
1.8555,0.0,0.0,0.0,0.0,0.0,0.0
1.8575,0.0,0.0,0.0,0.0,0.0,0.0
1.8594,0.0,0.0,0.0,0.0,0.0,0.0
1.8614,0.0,0.0,0.0,0.0,0.0,0.0
1.8633,0.0,0.0,0.0,0.0,0.0,0.0
1.8653,0.0,0.0,0.0,0.0,0.0,0.0
1.8673,0.0,0.0,0.0,0.0,0.0,0.0
1.8692,0.0,0.0,0.0,0.0,0.0,0.0
1.8712,0.0,0.0,0.0,0.0,0.0,0.0
1.8731,0.0,0.0,0.0,0.0,0.0,0.0
1.8751,0.0,0.0,0.0,0.0,0.0,0.0
1.877,0.0,0.0,0.0,0.0,0.0,0.0
1.879,0.0,0.0,0.0,0.0,0.0,0.0
1.8809,0.0,0.0,0.0,0.0,0.0,0.0
1.8829,0.0,0.0,0.0,0.0,0.0,0.0
1.8848,0.0,0.0,0.0,0.0,0.0,0.0
1.8868,0.0,0.0,0.0,0.0,0.0,0.0
1.8887,0.0,0.0,0.0,0.0,0.0,0.0
1.8907,0.0,0.0,0.0,0.0,0.0,0.0
1.8926,0.0,0.0,0.0,0.0,0.0,0.0
1.8946,0.0,0.0,0.0,0.0,0.0,0.0
1.8965,0.0,0.0,0.0,0.0,0.0,0.0
1.8985,0.0,0.0,0.0,0.0,0.0,0.0
1.9004,0.0,0.0,0.0,0.0,0.0,0.0
1.9024,0.0,0.0,0.0,0.0,0.0,0.0
1.9043,0.0,0.0,0.0,0.0,0.0,0.0
1.9063,0.0,0.0,0.0,0.0,0.0,0.0
1.9082,0.0,0.0,0.0,0.0,0.0,0.0
1.9102,0.0,0.0,0.0,0.0,0.0,0.0
1.9122,0.0,0.0,0.0,0.0,0.0,0.0
1.9141,0.0,0.0,0.0,0.0,0.0,0.0
1.9161,0.0,0.0,0.0,0.0,0.0,0.0
1.918,0.0,0.0,0.0,0.0,0.0,0.0
1.92,0.0,0.0,0.0,0.0,0.0,0.0
1.9219,0.0,0.0,0.0,0.0,0.0,0.0
1.9239,0.0,0.0,0.0,0.0,0.0,0.0
1.9258,0.0,0.0,0.0,0.0,0.0,0.0
1.9278,0.0,0.0,0.0,0.0,0.0,0.0
1.9297,0.0,0.0,0.0,0.0,0.0,0.0
1.9317,0.0,0.0,0.0,0.0,0.0,0.0
1.9336,0.0,0.0,0.0,0.0,0.0,0.0
1.9356,0.0,0.0,0.0,0.0,0.0,0.0
1.9375,0.0,0.0,0.0,0.0,0.0,0.0
1.9395,0.0,0.0,0.0,0.0,0.0,0.0
1.9414,0.0,0.0,0.0,0.0,0.0,0.0
1.9434,0.0,0.0,0.0,0.0,0.0,0.0
1.9453,0.0,0.0,0.0,0.0,0.0,0.0
1.9473,0.0,0.0,0.0,0.0,0.0,0.0
1.9492,0.0,0.0,0.0,0.0,0.0,0.0
1.9512,0.0,0.0,0.0,0.0,0.0,0.0
1.9531,0.0,0.0,0.0,0.0,0.0,0.0
1.9551,0.0,0.0,0.0,0.0,0.0,0.0
1.9571,0.0,0.0,0.0,0.0,0.0,0.0
1.959,0.0,0.0,0.0,0.0,0.0,0.0
1.961,0.0,0.0,0.0,0.0,0.0,0.0
1.9629,0.0,0.0,0.0,0.0,0.0,0.0
1.9649,0.0,0.0,0.0,0.0,0.0,0.0
1.9668,0.0,0.0,0.0,0.0,0.0,0.0
1.9688,0.0,0.0,0.0,0.0,0.0,0.0
1.9707,0.0,0.0,0.0,0.0,0.0,0.0
1.9727,0.0,0.0,0.0,0.0,0.0,0.0
1.9746,0.0,0.0,0.0,0.0,0.0,0.0
1.9766,0.0,0.0,0.0,0.0,0.0,0.0
1.9785,0.0,0.0,0.0,0.0,0.0,0.0
1.9805,0.0,0.0,0.0,0.0,0.0,0.0
1.9824,0.0,0.0,0.0,0.0,0.0,0.0
1.9844,0.0,0.0,0.0,0.0,0.0,0.0
1.9863,0.0,0.0,0.0,0.0,0.0,0.0
1.9883,0.0,0.0,0.0,0.0,0.0,0.0
1.9902,0.0,0.0,0.0,0.0,0.0,0.0
1.9922,0.0,0.0,0.0,0.0,0.0,0.0
1.9941,0.0,0.0,0.0,0.0,0.0,0.0
1.9961,0.0,0.0,0.0,0.0,0.0,0.0
1.998,0.0,0.0,0.0,0.0,0.0,0.0
2.0,0.0,0.0,0.0,0.0,0.0,0.0
